"Bedrijfstakken/branches (SBI 2008) ";"Regio's";"Perioden";"Banen van werknemers in december (x 1 000)"
"N Verhuur en overige zakelijke diensten";"Utrecht (PV)";"2024 december*";"    71.4"
"N Verhuur en overige zakelijke diensten";"Noord-Holland (PV)";"2024 december*";"   178.9"
"N Verhuur en overige zakelijke diensten";"Zuid-Holland (PV)";"2024 december*";"   212.7"
"N Verhuur en overige zakelijke diensten";"Zeeland (PV)";"2024 december*";"    12.2"
"N Verhuur en overige zakelijke diensten";"Noord-Brabant (PV)";"2024 december*";"   160.9"
"N Verhuur en overige zakelijke diensten";"Limburg (PV)";"2024 december*";"    60.4"
"O Openbaar bestuur en overheidsdiensten";"Nederland, Buitenland, Niet in te delen";"2024 december*";"   638.0"
"O Openbaar bestuur en overheidsdiensten";"Nederland";"2024 december*";"   638.0"
"O Openbaar bestuur en overheidsdiensten";"Nederland; niet in te delen";"2024 december*";"     0.0"
"O Openbaar bestuur en overheidsdiensten";"Groningen (PV)";"2024 december*";"    25.6"
"O Openbaar bestuur en overheidsdiensten";"Fryslân (PV)";"2024 december*";"    20.1"
"O Openbaar bestuur en overheidsdiensten";"Drenthe (PV)";"2024 december*";"    18.3"
"O Openbaar bestuur en overheidsdiensten";"Overijssel (PV)";"2024 december*";"    35.1"
"O Openbaar bestuur en overheidsdiensten";"Flevoland (PV)";"2024 december*";"    10.5"
"O Openbaar bestuur en overheidsdiensten";"Gelderland (PV)";"2024 december*";"    66.7"
"O Openbaar bestuur en overheidsdiensten";"Utrecht (PV)";"2024 december*";"    77.1"
"O Openbaar bestuur en overheidsdiensten";"Noord-Holland (PV)";"2024 december*";"    96.4"
"O Openbaar bestuur en overheidsdiensten";"Zuid-Holland (PV)";"2024 december*";"   171.8"
"O Openbaar bestuur en overheidsdiensten";"Zeeland (PV)";"2024 december*";"    10.2"
"O Openbaar bestuur en overheidsdiensten";"Noord-Brabant (PV)";"2024 december*";"    75.1"
"O Openbaar bestuur en overheidsdiensten";"Limburg (PV)";"2024 december*";"    30.9"
"P Onderwijs";"Nederland, Buitenland, Niet in te delen";"2024 december*";"   604.1"
"P Onderwijs";"Nederland";"2024 december*";"   603.9"
"P Onderwijs";"Nederland; niet in te delen";"2024 december*";"     0.3"
"P Onderwijs";"Groningen (PV)";"2024 december*";"    26.8"
"P Onderwijs";"Fryslân (PV)";"2024 december*";"    19.3"
"P Onderwijs";"Drenthe (PV)";"2024 december*";"    12.1"
"P Onderwijs";"Overijssel (PV)";"2024 december*";"    45.6"
"P Onderwijs";"Flevoland (PV)";"2024 december*";"    12.3"
"P Onderwijs";"Gelderland (PV)";"2024 december*";"    73.5"
"P Onderwijs";"Utrecht (PV)";"2024 december*";"    57.2"
"P Onderwijs";"Noord-Holland (PV)";"2024 december*";"    97.8"
"P Onderwijs";"Zuid-Holland (PV)";"2024 december*";"   134.0"
"P Onderwijs";"Zeeland (PV)";"2024 december*";"    10.3"
"P Onderwijs";"Noord-Brabant (PV)";"2024 december*";"    84.1"
"P Onderwijs";"Limburg (PV)";"2024 december*";"    30.7"
"Q Gezondheids- en welzijnszorg";"Nederland, Buitenland, Niet in te delen";"2024 december*";"  1563.1"
"Q Gezondheids- en welzijnszorg";"Nederland";"2024 december*";"  1562.8"
"Q Gezondheids- en welzijnszorg";"Nederland; niet in te delen";"2024 december*";"     0.3"
"Q Gezondheids- en welzijnszorg";"Groningen (PV)";"2024 december*";"    66.6"
"Q Gezondheids- en welzijnszorg";"Fryslân (PV)";"2024 december*";"    60.2"
"Q Gezondheids- en welzijnszorg";"Drenthe (PV)";"2024 december*";"    50.1"
"Q Gezondheids- en welzijnszorg";"Overijssel (PV)";"2024 december*";"   115.5"
"Q Gezondheids- en welzijnszorg";"Flevoland (PV)";"2024 december*";"    27.3"
"Q Gezondheids- en welzijnszorg";"Gelderland (PV)";"2024 december*";"   202.9"
"Q Gezondheids- en welzijnszorg";"Utrecht (PV)";"2024 december*";"   134.6"
"Q Gezondheids- en welzijnszorg";"Noord-Holland (PV)";"2024 december*";"   237.3"
"Q Gezondheids- en welzijnszorg";"Zuid-Holland (PV)";"2024 december*";"   311.4"
"Q Gezondheids- en welzijnszorg";"Zeeland (PV)";"2024 december*";"    32.5"
"Q Gezondheids- en welzijnszorg";"Noord-Brabant (PV)";"2024 december*";"   219.5"
"Q Gezondheids- en welzijnszorg";"Limburg (PV)";"2024 december*";"   104.7"
"R Cultuur, sport en recreatie";"Nederland, Buitenland, Niet in te delen";"2024 december*";"   161.6"
"R Cultuur, sport en recreatie";"Nederland";"2024 december*";"   161.5"
"R Cultuur, sport en recreatie";"Nederland; niet in te delen";"2024 december*";"     0.1"
"R Cultuur, sport en recreatie";"Groningen (PV)";"2024 december*";"     3.7"
"R Cultuur, sport en recreatie";"Fryslân (PV)";"2024 december*";"     5.0"
"R Cultuur, sport en recreatie";"Drenthe (PV)";"2024 december*";"     3.5"
"R Cultuur, sport en recreatie";"Overijssel (PV)";"2024 december*";"     8.9"
"R Cultuur, sport en recreatie";"Flevoland (PV)";"2024 december*";"     3.5"
"R Cultuur, sport en recreatie";"Gelderland (PV)";"2024 december*";"    17.2"
"R Cultuur, sport en recreatie";"Utrecht (PV)";"2024 december*";"    16.7"
"R Cultuur, sport en recreatie";"Noord-Holland (PV)";"2024 december*";"    37.0"
"R Cultuur, sport en recreatie";"Zuid-Holland (PV)";"2024 december*";"    30.8"
"R Cultuur, sport en recreatie";"Zeeland (PV)";"2024 december*";"     2.5"
"R Cultuur, sport en recreatie";"Noord-Brabant (PV)";"2024 december*";"    23.3"
"R Cultuur, sport en recreatie";"Limburg (PV)";"2024 december*";"     9.4"
"S Overige dienstverlening";"Nederland, Buitenland, Niet in te delen";"2024 december*";"   132.3"
"S Overige dienstverlening";"Nederland";"2024 december*";"   131.9"
"S Overige dienstverlening";"Nederland; niet in te delen";"2024 december*";"     0.4"
"S Overige dienstverlening";"Groningen (PV)";"2024 december*";"     3.0"
"S Overige dienstverlening";"Fryslân (PV)";"2024 december*";"     3.8"
"S Overige dienstverlening";"Drenthe (PV)";"2024 december*";"     2.9"
"S Overige dienstverlening";"Overijssel (PV)";"2024 december*";"     7.2"
"S Overige dienstverlening";"Flevoland (PV)";"2024 december*";"     1.8"
"S Overige dienstverlening";"Gelderland (PV)";"2024 december*";"    15.0"
"S Overige dienstverlening";"Utrecht (PV)";"2024 december*";"    22.2"
"S Overige dienstverlening";"Noord-Holland (PV)";"2024 december*";"    24.3"
"S Overige dienstverlening";"Zuid-Holland (PV)";"2024 december*";"    30.8"
"S Overige dienstverlening";"Zeeland (PV)";"2024 december*";"     1.6"
"S Overige dienstverlening";"Noord-Brabant (PV)";"2024 december*";"    13.8"
"S Overige dienstverlening";"Limburg (PV)";"2024 december*";"     5.6"
